,id,created_on,property_type,lat,lon,local price,usd price,barrio,commune
4122,fe535c6a128be87ca5c329dadd765353c5690518,2/3/2015,apartment,-34.5987327,-58.3690113,3377.16,195.5,48,1
6545,fe535c6a128be87ca5c329dadd765353c5690518,2/3/2015,apartment,-34.5987327,-58.3690113,3377.16,195.5,48,1
9220,fe535c6a128be87ca5c329dadd765353c5690518,2/3/2015,apartment,-34.5987327,-58.3690113,3377.16,195.5,48,1
12301,fe535c6a128be87ca5c329dadd765353c5690518,2/3/2015,apartment,-34.5987327,-58.3690113,3377.16,195.5,48,1
15794,fe535c6a128be87ca5c329dadd765353c5690518,2/3/2015,apartment,-34.5987327,-58.3690113,3377.16,195.5,48,1
1840,ed3258bf743e190c5e2e45ba76e4a3728630258c,3/14/2015,store,-34.5617121,-58.4569923,3439.18,199.09,1,13
4006,ed3258bf743e190c5e2e45ba76e4a3728630258c,3/14/2015,store,-34.5617121,-58.4569923,3439.18,199.09,1,13
6406,ed3258bf743e190c5e2e45ba76e4a3728630258c,3/14/2015,store,-34.5617121,-58.4569923,3439.18,199.09,1,13
9033,ed3258bf743e190c5e2e45ba76e4a3728630258c,3/14/2015,store,-34.5617121,-58.4569923,3439.18,199.09,1,13
12037,ed3258bf743e190c5e2e45ba76e4a3728630258c,3/14/2015,store,-34.5617121,-58.4569923,3439.18,199.09,1,13
15561,ed3258bf743e190c5e2e45ba76e4a3728630258c,3/14/2015,store,-34.5617121,-58.4569923,3439.18,199.09,1,13
19235,ed3258bf743e190c5e2e45ba76e4a3728630258c,3/14/2015,store,-34.5617121,-58.4569923,3410.9,199.09,1,13
15897,60dd126b83d55c4d5300b709a4e4a227449fe51a,8/11/2015,apartment,-34.601701,-58.3868057,3450.75,199.76,43,1
19491,60dd126b83d55c4d5300b709a4e4a227449fe51a,8/11/2015,apartment,-34.601701,-58.3868057,3422.38,199.76,43,1
24023,60dd126b83d55c4d5300b709a4e4a227449fe51a,8/11/2015,apartment,-34.601701,-58.3868057,3422.38,199.76,43,1
28392,60dd126b83d55c4d5300b709a4e4a227449fe51a,8/11/2015,apartment,-34.601701,-58.3868057,3422.38,199.76,43,1
33028,60dd126b83d55c4d5300b709a4e4a227449fe51a,8/11/2015,apartment,-34.601701,-58.3868057,3189.86,199.76,43,1
37184,60dd126b83d55c4d5300b709a4e4a227449fe51a,8/11/2015,apartment,-34.601701,-58.3868057,3189.86,199.76,43,1
47465,60dd126b83d55c4d5300b709a4e4a227449fe51a,8/11/2015,apartment,-34.601701,-58.3868057,3422.38,199.76,43,1
6191,ef7abe1ad474cddd8eb0ee06b045d88718709be5,5/1/2015,apartment,-34.60414187,-58.40978735,3486.51,201.83,4,3
8791,ef7abe1ad474cddd8eb0ee06b045d88718709be5,5/1/2015,apartment,-34.60414187,-58.40978735,3486.51,201.83,4,3
11776,ef7abe1ad474cddd8eb0ee06b045d88718709be5,5/1/2015,apartment,-34.60414187,-58.40978735,3486.51,201.83,4,3
