barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
7,2017-11-30,3,509.96000000000004,0.0,0.0,431.77,551.2,67.74849149612116
7,2017-12-31,7,678.7785714285714,1.0,0.0,376.25,900.36,170.4252897341013
7,2018-01-31,10,537.142,3.0,0.0,347.53,1396.1,315.1332315351362
7,2018-02-28,2,649.51,0.0,0.0,483.95,815.07,234.13719738648967
8,2014-10-31,5,1295.9140000000002,0.0,0.0,728.22,3566.69,1269.4023744187657
8,2014-11-30,18,1242.7066666666665,0.0,0.0,728.22,2184.67,617.4075070524377
8,2014-12-31,12,929.7508333333335,0.0,0.0,580.09,1560.42,376.8181621384832
8,2015-02-28,4,743.7825,0.0,0.0,736.23,766.44,15.105000000000027
8,2015-03-31,10,1526.8110000000001,0.0,0.0,1028.74,1740.27,343.7016432072057
8,2015-05-31,8,944.66625,0.0,0.0,873.87,1440.24,200.24203383031252
8,2015-06-30,13,1245.363076923077,3.0,0.0,259.64,1740.27,625.2618215647027
8,2015-07-31,4,654.55,2.0,0.0,374.03,935.07,323.91659502614766
8,2015-08-31,14,1296.2214285714285,0.0,0.0,417.79,1581.27,345.1114332158002
8,2015-09-30,14,686.0592857142856,0.0,0.0,578.88,818.87,95.31360702473667
8,2015-10-31,7,1292.1499999999999,0.0,0.0,1292.15,1292.15,0.0
